mean_correlation,median_correlation,market_volatility,cross_sectional_dispersion,pca_first_component_ratio,mean_pairwise_distance,mean_correlation_distance,window_id,window_start,window_end,cluster_count,silhouette_score,adjacent_window_ari,sector_cluster_ari,sector_cluster_nmi,pca_stock_projection_pc1_ratio
0.4812229440412512,0.4846517080187721,0.2544423449283942,0.016593600377543007,0.5105511906828051,0.8829658790241331,1.0016871502041265,20,2022-04-07,2022-08-16,6,0.1677089257436809,0.9413454492158875,0.18251325970656443,0.5145386183513736,0.21290160765477148
0.5100442568940962,0.5126748156761184,0.26135952806396406,0.016122224196509192,0.5380292718293198,0.8606400769746333,0.9719190507150675,21,2022-04-22,2022-08-30,6,0.19697767721089793,0.8678391084798885,0.1599452138182925,0.49280158331881135,0.22080612243003298
0.49288386360393294,0.5000764826918643,0.24526189593601244,0.015606985405932543,0.52307275316976,0.8756260003653431,0.988769757350456,22,2022-05-06,2022-09-14,6,0.18337342030645462,0.8876639687412783,0.19243523412318753,0.532429736031514,0.2203515213409007
0.49085797624361555,0.494609855236161,0.23338996947511953,0.015035152518748249,0.51827080824281,0.8747394618199363,0.9926368929511051,23,2022-05-20,2022-09-28,6,0.17093211512014947,0.9793643831246511,0.21047828528640958,0.5672618622223449,0.2163515966036862
0.5158415754569279,0.5155241032801381,0.23794976630254067,0.01470419867464981,0.5409432144600946,0.8515188739725236,0.9685737011563335,24,2022-06-06,2022-10-12,6,0.17943540847757294,0.9305725446868958,0.1895392958780047,0.5486926574836987,0.19359426765995846
0.49691745708583024,0.5033068227478517,0.23223962987999763,0.01489345551222568,0.5213889471035178,0.8701820177833766,0.989002515420979,25,2022-06-21,2022-10-26,6,0.15678848001286844,0.9898982011965995,0.20257489643467289,0.5738890162159658,0.18319040972864187
0.4990621319864934,0.5027583101397161,0.23111494493620233,0.014910238869589585,0.5227809782740557,0.8637569350762133,0.9884389076701118,26,2022-07-06,2022-11-09,6,0.14541181255728097,0.778825055808895,0.16047472774103838,0.523374523140272,0.15581390941709047
0.49878769244521676,0.5012388510945196,0.23690687824677714,0.015151804778332618,0.5246433900123258,0.8625385935464729,0.9875764533461772,27,2022-07-20,2022-11-23,6,0.12926185020628705,0.8291362981713438,0.1673193655766595,0.5179624726314469,0.1632794452521941
0.5305127443646699,0.537402351495178,0.2401790460477076,0.014601952921730737,0.5532783234929407,0.8335416180583938,0.9563308946306068,28,2022-08-03,2022-12-08,6,0.10565406981414335,0.4690376569037657,0.06575522978092571,0.40773789261526244,0.14027109659152082
0.5427620859471618,0.5484413287220511,0.24317014574518653,0.014625982047405077,0.5642858549062325,0.8229227542961032,0.9439848341781703,29,2022-08-17,2022-12-22,6,0.08714599180164208,0.5491654382043845,0.1015825760219192,0.4498272411128914,0.13899722003409032
0.5216099312281295,0.526368248650242,0.23784550985367617,0.014945351027174711,0.5439042713674741,0.839403061260693,0.9664499295525791,30,2022-08-31,2023-01-09,6,0.10369455468341977,0.792118348660018,0.11463106932209055,0.4753212545448002,0.13593799379127838
0.4878960475530534,0.4963455804969957,0.22739604328656687,0.015172476264065808,0.5117372873700753,0.8723850244316523,1.000982516197641,31,2022-09-15,2023-01-24,6,0.06351449014711873,0.6234823336819608,0.044888067265537304,0.330165979497748,0.14475004020161947
0.45783593633498654,0.46489366946988103,0.22081567575516392,0.01564067748016291,0.4841227440817767,0.8961629767345802,1.0299240893940713,32,2022-09-29,2023-02-07,6,0.08729831380937385,0.5346896483858706,0.1015825760219192,0.43420575448422183,0.16203543414596236
