window_id,window_start,window_end,ticker,sector,cluster,kmeans_cluster
41,2023-02-08,2023-06-16,PEP,Consumer Staples,0,1
41,2023-02-08,2023-06-16,PFE,Health Care,0,2
41,2023-02-08,2023-06-16,PG,Consumer Staples,0,1
41,2023-02-08,2023-06-16,T,Communication Services,4,0
41,2023-02-08,2023-06-16,TSLA,Consumer Discretionary,3,0
41,2023-02-08,2023-06-16,UNH,Health Care,0,1
41,2023-02-08,2023-06-16,V,Financials,3,0
41,2023-02-08,2023-06-16,VZ,Communication Services,4,0
41,2023-02-08,2023-06-16,WMT,Consumer Staples,5,1
41,2023-02-08,2023-06-16,XOM,Energy,3,3
42,2023-02-23,2023-07-03,AAPL,Information Technology,2,1
42,2023-02-23,2023-07-03,AMD,Information Technology,2,1
42,2023-02-23,2023-07-03,AMT,Real Estate,1,3
42,2023-02-23,2023-07-03,AMZN,Consumer Discretionary,2,1
42,2023-02-23,2023-07-03,AVGO,Information Technology,2,1
42,2023-02-23,2023-07-03,BA,Industrials,3,5
42,2023-02-23,2023-07-03,BAC,Financials,3,5
42,2023-02-23,2023-07-03,BRK.B,Financials,3,5
42,2023-02-23,2023-07-03,CAT,Industrials,3,5
42,2023-02-23,2023-07-03,COST,Consumer Staples,5,0
42,2023-02-23,2023-07-03,CRM,Information Technology,2,1
42,2023-02-23,2023-07-03,CSCO,Information Technology,2,4
42,2023-02-23,2023-07-03,CVX,Energy,3,5
42,2023-02-23,2023-07-03,DIS,Communication Services,3,4
42,2023-02-23,2023-07-03,DUK,Utilities,1,3
42,2023-02-23,2023-07-03,GE,Industrials,3,0
42,2023-02-23,2023-07-03,GOOG,Communication Services,2,1
42,2023-02-23,2023-07-03,GOOGL,Communication Services,2,1
42,2023-02-23,2023-07-03,GS,Financials,3,5
42,2023-02-23,2023-07-03,HD,Consumer Discretionary,3,4
42,2023-02-23,2023-07-03,INTC,Information Technology,0,4
42,2023-02-23,2023-07-03,JNJ,Health Care,1,2
42,2023-02-23,2023-07-03,JPM,Financials,3,5
42,2023-02-23,2023-07-03,KO,Consumer Staples,1,3
42,2023-02-23,2023-07-03,LIN,Materials,3,5
42,2023-02-23,2023-07-03,LLY,Health Care,1,3
42,2023-02-23,2023-07-03,MA,Financials,3,0
42,2023-02-23,2023-07-03,MCD,Consumer Discretionary,1,3
42,2023-02-23,2023-07-03,META,Communication Services,2,1
42,2023-02-23,2023-07-03,MS,Financials,3,5
42,2023-02-23,2023-07-03,MSFT,Information Technology,2,1
42,2023-02-23,2023-07-03,NEE,Utilities,1,3
42,2023-02-23,2023-07-03,NFLX,Communication Services,5,4
42,2023-02-23,2023-07-03,NKE,Consumer Discretionary,3,4
42,2023-02-23,2023-07-03,NVDA,Information Technology,2,1
42,2023-02-23,2023-07-03,ORCL,Information Technology,2,1
42,2023-02-23,2023-07-03,PEP,Consumer Staples,1,3
42,2023-02-23,2023-07-03,PFE,Health Care,4,2
42,2023-02-23,2023-07-03,PG,Consumer Staples,1,3
42,2023-02-23,2023-07-03,T,Communication Services,0,4
42,2023-02-23,2023-07-03,TSLA,Consumer Discretionary,2,4
42,2023-02-23,2023-07-03,UNH,Health Care,4,2
42,2023-02-23,2023-07-03,V,Financials,3,0
42,2023-02-23,2023-07-03,VZ,Communication Services,0,4
42,2023-02-23,2023-07-03,WMT,Consumer Staples,5,3
42,2023-02-23,2023-07-03,XOM,Energy,3,5
43,2023-03-09,2023-07-18,AAPL,Information Technology,1,0
43,2023-03-09,2023-07-18,AMD,Information Technology,1,4
43,2023-03-09,2023-07-18,AMT,Real Estate,0,1
43,2023-03-09,2023-07-18,AMZN,Consumer Discretionary,1,4
43,2023-03-09,2023-07-18,AVGO,Information Technology,1,0
43,2023-03-09,2023-07-18,BA,Industrials,3,5
43,2023-03-09,2023-07-18,BAC,Financials,3,2
43,2023-03-09,2023-07-18,BRK.B,Financials,3,2
43,2023-03-09,2023-07-18,CAT,Industrials,3,2
43,2023-03-09,2023-07-18,COST,Consumer Staples,1,0
43,2023-03-09,2023-07-18,CRM,Information Technology,1,0
43,2023-03-09,2023-07-18,CSCO,Information Technology,1,5
43,2023-03-09,2023-07-18,CVX,Energy,3,2
43,2023-03-09,2023-07-18,DIS,Communication Services,3,5
43,2023-03-09,2023-07-18,DUK,Utilities,0,1
43,2023-03-09,2023-07-18,GE,Industrials,3,2
43,2023-03-09,2023-07-18,GOOG,Communication Services,1,4
43,2023-03-09,2023-07-18,GOOGL,Communication Services,1,4
43,2023-03-09,2023-07-18,GS,Financials,3,2
43,2023-03-09,2023-07-18,HD,Consumer Discretionary,3,5
43,2023-03-09,2023-07-18,INTC,Information Technology,4,5
43,2023-03-09,2023-07-18,JNJ,Health Care,0,1
43,2023-03-09,2023-07-18,JPM,Financials,3,2
43,2023-03-09,2023-07-18,KO,Consumer Staples,0,1
43,2023-03-09,2023-07-18,LIN,Materials,3,2
43,2023-03-09,2023-07-18,LLY,Health Care,2,3
43,2023-03-09,2023-07-18,MA,Financials,3,0
43,2023-03-09,2023-07-18,MCD,Consumer Discretionary,0,1
43,2023-03-09,2023-07-18,META,Communication Services,1,0
43,2023-03-09,2023-07-18,MS,Financials,3,2
43,2023-03-09,2023-07-18,MSFT,Information Technology,1,4
43,2023-03-09,2023-07-18,NEE,Utilities,0,1
43,2023-03-09,2023-07-18,NFLX,Communication Services,1,0
43,2023-03-09,2023-07-18,NKE,Consumer Discretionary,3,5
43,2023-03-09,2023-07-18,NVDA,Information Technology,1,0
43,2023-03-09,2023-07-18,ORCL,Information Technology,1,0
43,2023-03-09,2023-07-18,PEP,Consumer Staples,0,1
43,2023-03-09,2023-07-18,PFE,Health Care,5,5
43,2023-03-09,2023-07-18,PG,Consumer Staples,0,1
43,2023-03-09,2023-07-18,T,Communication Services,0,5
43,2023-03-09,2023-07-18,TSLA,Consumer Discretionary,1,0
43,2023-03-09,2023-07-18,UNH,Health Care,2,3
43,2023-03-09,2023-07-18,V,Financials,3,0
43,2023-03-09,2023-07-18,VZ,Communication Services,0,5
43,2023-03-09,2023-07-18,WMT,Consumer Staples,0,1
43,2023-03-09,2023-07-18,XOM,Energy,3,2
44,2023-03-23,2023-08-01,AAPL,Information Technology,2,3
44,2023-03-23,2023-08-01,AMD,Information Technology,2,2
44,2023-03-23,2023-08-01,AMT,Real Estate,4,4
44,2023-03-23,2023-08-01,AMZN,Consumer Discretionary,2,3
44,2023-03-23,2023-08-01,AVGO,Information Technology,2,2
44,2023-03-23,2023-08-01,BA,Industrials,0,0
44,2023-03-23,2023-08-01,BAC,Financials,0,0
44,2023-03-23,2023-08-01,BRK.B,Financials,0,0
44,2023-03-23,2023-08-01,CAT,Industrials,0,0
44,2023-03-23,2023-08-01,COST,Consumer Staples,3,3
44,2023-03-23,2023-08-01,CRM,Information Technology,2,3
44,2023-03-23,2023-08-01,CSCO,Information Technology,0,2
44,2023-03-23,2023-08-01,CVX,Energy,0,0
44,2023-03-23,2023-08-01,DIS,Communication Services,0,0
44,2023-03-23,2023-08-01,DUK,Utilities,3,4
44,2023-03-23,2023-08-01,GE,Industrials,0,0
