ticker,latest_price,return_1y,volatility_1y,momentum_6m,max_drawdown_1y
CTL,17.06,-0.3016782644289808,0.35361781518049795,-0.21814848762603123,-0.5012815818381545
CTSH,76.52,0.3555358724534985,0.15424691879951757,0.07759470497113075,-0.07070173120126877
CTXS,87.6,0.1275582443042862,0.1990564227451793,0.14930464445027547,-0.14814814814814825
CVS,74.35,-0.03479163962092702,0.22603494218987166,-0.06395568425028342,-0.19817548913695837
CVX,115.29,0.033249686323713945,0.17135546096792267,0.03967896113265401,-0.15703592814371248
CXO,148.1,0.09387694807592895,0.2519246742955602,0.24642316108399265,-0.25100512962706223
D,73.76,0.005726752113444311,0.13456843824225806,-0.05241521068859201,-0.13131551054057222
DAL,53.85,0.11954261954261947,0.24581004324381825,0.0841554258103483,-0.18511175198269636
DE,161.44,0.48916151646527073,0.18474159718184716,0.21924325957253976,-0.12816252548901141
DFS,76.63,0.12426643192488251,0.18534543428622743,0.25089781260202404,-0.20359116022099455
DG,97.88,0.3038497402424405,0.2315916271786778,0.2686973428386259,-0.12507920415663398
DGX,100.58,0.08092423428264373,0.15823551494458854,-0.055586854460093926,-0.18261964735516367
DHI,46.29,0.548678487788558,0.19590546552795368,0.27275226835303834,-0.15377340646869675
DHR,95.25,0.14786695589298615,0.14288165523294183,0.18721176617225477,-0.0965132178669097
DIS,104.76,-0.03889908256880725,0.16480870133015896,0.018768841777691447,-0.16324240331491713
DISCA,23.12,-0.16018888485288774,0.3213623789896705,-0.02033898305084747,-0.45037137069547606
DISCK,21.95,-0.18035847647498138,0.32405396208463283,-0.019651630192050074,-0.4716262975778547
DISH,45.1,-0.25895497863950045,0.25989317231110376,-0.24506193505189156,-0.3455204713702976
DLR,104.17,-0.03322505800464037,0.21371556946213027,-0.08950266585088706,-0.17351634401777216
DLTR,106.08,0.383772501956692,0.22178756028539173,0.41591030432461285,-0.20137134608444596
DOV,99.92,0.28497942386831276,0.18878952425431397,0.1507543475757227,-0.07921531994395148
DPS,118.0,0.2718258245311489,0.26370669588733303,0.30646589902568655,-0.14573220064724912
DRE,25.37,0.008747514910536935,0.15244441656193575,-0.11044880785413735,-0.15826144658261443
DRI,95.08,0.2946623093681917,0.21670339079802955,0.16978346456692917,-0.16873449131513651
DTE,99.27,0.005469462169553241,0.1186785333316318,-0.08532203077490097,-0.1441503577894646
DUK,74.4,-0.05391658189216675,0.11467717288953291,-0.13689095127610207,-0.18322538149083323
DVA,74.66,0.1541196475498532,0.3044591486122004,0.3209483368719037,-0.2311314024825225
DVN,36.76,-0.1656831593281889,0.31288010871466276,0.14588528678304247,-0.3569873748367436
EA,123.05,0.5101865488463426,0.2623074881501763,0.059770906898630516,-0.17332130851848815
EBAY,42.33,0.27308270676691726,0.24384425155004105,0.17322616407982272,-0.11823544498589378
ECL,133.12,0.10619910254279552,0.11467717288953291,0.005741915986702928,-0.06127974918056145
ED,75.26,0.0001328903654485014,0.11866425286635114,-0.09608455440787889,-0.16060673656033897
