ticker,cluster,pca1,pca2
PVH,7,2.343513555661149,0.8466540536205931
PWR,6,-0.9155364955427081,-0.659933532828924
PX,0,1.3870717527075993,-0.23024045069829777
PXD,3,-1.2412539755820602,1.714688242589185
PYPL,7,2.2735221972767934,1.6700300504039567
QCOM,2,0.5791129015895756,0.9148214986931479
QRVO,2,-0.45685875072149984,1.296265238547547
RCL,0,1.0098403792957287,0.0026293065023609737
RE,6,-0.8368259389760125,-0.47748046497974583
REG,6,-1.255707375319867,-1.3662289876730405
REGN,5,-2.8870311153605774,-0.4035844089806255
RF,2,0.9963994803145805,1.0328233755359097
RHI,2,0.983023898990658,0.6991405270728304
RHT,7,2.4587879582626275,1.1641064499569425
RJF,0,0.6598364642250908,-0.1415869672205256
RL,2,0.5343999264332996,1.5047485076809888
RMD,7,1.2352663341313768,0.9172477718441898
ROK,0,1.0090069728095097,-0.014843345582274653
ROP,0,1.7208037931897375,-0.3787496026189123
ROST,2,0.45082594690544336,1.5498351346367873
RRC,5,-4.980805251296342,0.8649979505986563
RSG,1,0.8827526909080435,-1.3947035214247698
RTN,0,1.8298887782357984,-0.48879828692736366
SBAC,7,1.9316423554965478,0.5023984387197894
SBUX,1,-0.2828036250807463,-0.8163585121581213
SCG,5,-4.9196041186324875,0.024911960220366347
SCHW,2,1.0561622343221198,0.7872594211462176
SEE,1,-0.5944239767172549,-0.9198257487631101
SHW,0,1.5845991230895358,-0.07131829692298741
SIG,5,-4.156312315463175,1.4792890313922458
SJM,6,-1.4950193186559702,-0.38264740711154077
SLB,6,-0.995131004823379,-0.3415353013651516
SLG,1,-0.8460764513607167,-1.3534671098687652
SNA,1,-0.23194149552491714,-0.4020795743615093
SNI,2,-0.31575874715390817,-0.09978111915500937
SNPS,0,1.4106590437613098,-0.3765924571565781
SO,1,-0.6413911593976703,-1.799990221538226
SPG,6,-0.9009495917349833,-0.9670071686907116
SPGI,7,1.8434781236130258,0.2654386103035209
SRCL,6,-1.2940756968392377,-0.23728695828112292
SRE,1,-0.23843835518487808,-1.6146594164599202
STI,2,0.7750252417413568,0.3133393784205873
STT,0,1.2629707390127347,-0.284858254743417
STX,3,-1.0402405568152069,3.534487533555172
STZ,0,1.4997124571870117,-0.36248431722239294
SWK,0,1.375095959059891,-0.3716751152680481
SWKS,6,-0.7046209836641013,0.08387830061342641
SYF,3,-0.6965670460827554,1.3204191696849001
SYK,0,1.0417355862602409,-0.6568679057778526
SYMC,6,-1.2340269146114182,-0.46079202192981755
SYY,0,0.7225250001256347,-0.3203055660235676
T,6,-0.9585219263939999,-0.8615458905762683
TAP,6,-1.559911365214261,-1.4953908340052098
TDG,2,-0.009769545140286107,0.07730224216883325
TEL,0,1.8394980688459663,-0.08742347837356967
TGT,3,-0.3716820521140769,1.6826687714179704
TIF,0,0.9069660981078258,0.21229839164922779
TJX,1,-0.04054748799473461,-0.564760139822356
TMK,0,0.8336947328689439,-1.1401696451468344
TMO,0,1.570691812003964,0.07724628118379301
TPR,2,-0.05941830667240253,0.7750714283965954
TRIP,5,-3.515880517176605,1.9422272331662753
TROW,7,2.0549902098325523,0.8758773842437716
TRV,0,0.9455404541528473,-0.6411169002502095
TSCO,3,-1.2519694011860065,1.1488594838376744
TSN,0,0.5866345275064316,-0.1550378463017681
TSS,7,2.5851857224119454,0.8102549249754565
TWX,1,-0.1491571016584622,-1.568377208438597
TXN,7,1.1746665441305053,0.6396639016386436
TXT,0,1.1903051972810823,-0.14409512684962747
UA,5,-5.0766795545520464,0.9405256705437408
UAA,5,-5.189227784090981,0.8644424305654126
UAL,6,-2.0366933191921754,0.6271451366940872
UDR,1,-0.49169890537298233,-1.704918004692788
UHS,2,-0.5883602671665639,0.18502632540867134
ULTA,5,-2.967275284711206,0.07394142662799685
UNH,0,1.5007967638737665,0.012579123092012118
UNM,1,0.12000166816166805,-0.8450078574017952
UNP,2,1.0368201994671717,0.3341885793339827
UPS,1,-0.025186031076249074,-0.9205829573579284
URI,4,1.0401891077036258,2.646636536306155
USB,1,0.3940292327726167,-1.1272856983136987
UTX,0,1.0195357747765805,-0.5429961966436787
V,0,1.9017405645989778,-0.2258130274281832
VAR,7,1.7090628048852654,0.5858245074914927
VFC,7,2.289132090461235,0.9997030012532575
VIAB,5,-3.7530930076413718,1.506215190589184
VLO,7,1.7883508132964523,0.7100443241502427
VMC,2,-0.11894995613709913,0.11081420039518325
VNO,5,-3.103906756364525,-0.4915538562032743
VRSK,0,1.0066533285876318,-0.4513838645463887
VRSN,0,1.47662411075252,-0.6428930388350454
VRTX,4,0.4440378757505423,2.1413839349620982
VTR,6,-1.5567086139188704,-1.5994334230219136
